Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
1,Pokemon,Series,1998,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,,368.04,368.04
2,Super Mario,Series,1983,Platform,Nintendo  ,Nintendo  ,,,,,,,,365.58,365.58
3,Grand Theft Auto,Series,1998,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,330,330
4,Call of Duty,Series,2003,Shooter,Activision  ,Infinity Ward  ,,,,,,,,300,300
5,FIFA,Series,1993,Sports,EA Sports  ,Extended Play Productions (1991-1997)  ,,,,,,,,282.4,282.4
6,Minecraft,Series,2011,Sandbox,Mojang  ,Mojang  ,,,,,,,,200,200
7,Minecraft,All,2011,Action-Adventure,Mojang  ,Mojang AB  ,,,,,,,,200,200
8,The Sims,Series,2000,Simulation,Electronic Arts  ,Maxis  ,,,,,,,,200,200
9,Tetris,Series,1984,Puzzle,Unknown  ,Alexey Pajitnov  ,,,,,,,,171,171
10,Final Fantasy,Series,1987,Role-Playing,Square  ,Square  ,,,,,,,,154,154
11,Need for Speed,Series,1994,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,,150,150
12,Mario Kart,Series,1992,Racing,Nintendo  ,Nintendo  ,,,,,,,,148.76,148.76
13,Assassin's Creed,Series,2007,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,,140,140
14,Grand Theft Auto V,All,2013,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,135,135
15,Madden NFL,Series,1988,Sports,Electronic Arts  ,Park Place Productions  ,,,,,,,,130,130
16,Wii Sports,Series,2006,Sports,Nintendo  ,Nintendo  ,,,,,,,,116.04,116.04
17,The Legend of Zelda,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,,109.94,109.94
18,NBA 2K,Series,1999,Sports,Sega  ,Visual Concepts  ,,,,,,,,109,109
19,Pro Evolution Soccer,Series,1995,Sports,Konami  ,Konami  ,,,,,,,,106.8,106.8
20,Resident Evil,Series,1996,Action-Adventure,Capcom  ,Capcom  ,,,,,,,,105,105
21,Lego,Series,1997,Action-Adventure,Mindscape  ,TT Fusion  ,,,,,,,,104.33,104.33
22,Wii Sports,Wii,2006,Sports,Nintendo  ,Nintendo EAD  ,7.7,,,,,,,82.9,82.9
23,Dragon Quest,Series,1986,Role-Playing,Square  ,ArtePiazza  ,,,,,,,,82,82
24,Gran Turismo,Series,1998,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,,,,80.4,80.4
25,Battlefield,Series,2002,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,,78.9,78.9
26,Sonic the Hedgehog,Series,1991,Platform,Sega  ,Sonic Team  ,,,,,,,,76.64,76.64
27,Tomb Raider,Series,1996,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,,75,75
28,Halo,Series,2001,Shooter,Microsoft Game Studios  ,Bungie  ,,,,,,,,71,71
29,Just Dance,Series,2009,Music,Ubisoft  ,Ubisoft  ,,,,,,,,70,70
30,PlayerUnknown's Battlegrounds,All,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,,70,70
31,PUBG,Series,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,,70,70
32,WWE 2K,Series,2000,Fighting,THQ  ,Visual Concepts  ,,,,,,,,70,70
33,Counter-Strike,Series,2000,Shooter,Valve  ,Valve  ,,,,,,,,65,65
34,Monster Hunter,Series,2004,Role-Playing,Capcom  ,Capcom  ,,,,,,,,65,65
35,The Oregon Trail,Series,2071,Education,MECC  ,MECC  ,,,,,,,,65,65
36,Donkey Kong,Series,1981,Platform,Nintendo  ,Nintendo  ,,,,,,,,63.06,63.06
37,Super Smash Bros.,Series,1999,Fighting,Nintendo  ,Nintendo  ,,,,,,,,62.36,62.36
38,Animal Crossing,Series,2002,Simulation,Nintendo  ,Nintendo  ,,,,,,,,60.67,60.67
39,The Elder Scrolls,Series,1994,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,,,,,,,,58.62,58.62
40,Borderlands,Series,2009,Shooter,2K Games  ,Gearbox Software  ,,,,,,,,58.5,58.5
41,Dragon Ball,Series,1986,Role-Playing,Bandai  ,Tose  ,,,,,,,,57.1,57.1
42,Metal Gear,Series,1987,Action-Adventure,Konami  ,Konami  ,,,,,,,,55,55
43,Mortal Kombat,Series,1992,Fighting,Midway  ,Avalanche Software  ,,,,,,,,54,54
44,Mario Party,Series,1999,Party,Nintendo  ,Hudson Soft  ,,,,,,,,53.95,53.95
45,Far Cry,Series,2004,Shooter,Ubisoft  ,Ubisoft  ,,,,,,,,52.5,52.5
46,God of War,Series,2005,Action,Sony Computer Entertainment  ,SIE Santa Monica Studio  ,,,,,,,,51,51
47,Red Dead,Series,2004,Action-Adventure,Rockstar Games  ,Rockstar San Diego  ,,,,,,,,51,51
48,Tekken,Series,1994,Fighting,Namco  ,Bandai Namco Studios  ,,,,,,,,50.52,50.52
49,Bejeweled,Series,2001,Puzzle,PopCap Games  ,PopCap Games  ,,,,,,,,50,50
50,Crash Bandicoot,Series,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,,50,50
51,Diablo,Series,1997,Role-Playing,Blizzard Entertainment  ,Blizzard North  ,,,,,,,,50,50
52,Lego Star Wars,Series,2005,Action-Adventure,Eidos Interactive  ,TT Fusion  ,,,,,,,,50,50
53,The Witcher,Series,2007,Role-Playing,Atari  ,CD Projekt Red Studio  ,,,,,,,,50,50
54,Fallout,Series,1997,Role-Playing,Interplay Productions  ,Interplay Entertainment  ,,,,,,,,46.43,46.43
55,Warriors,Series,1997,Action,KOEI  ,Omega Force  ,,,,,,,,45.26,45.26
56,Street Fighter,Series,1987,Fighting,Capcom  ,Capcom  ,,,,,,,,45,45
57,Uncharted,Series,2007,Shooter,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,,44.25,44.25
58,Civilization,Series,1991,Strategy,Microprose  ,Firaxis Games  ,,,,,,,,44,44
59,Wii Fit,Series,2008,Misc,Nintendo  ,Nintendo  ,,,,,,,,43.8,43.8
60,Star Wars: Battlefront,Series,2004,Shooter,LucasArts  ,Pandemic Studios  ,,,,,,,,43,43
61,Harry Potter,Series,2001,Action-Adventure,Electronic Arts  ,Griptonite Games  ,,,,,,,,42.7,42.7
62,Super Mario Bros.,NES,1985,Platform,Nintendo  ,Nintendo EAD  ,10,8.2,,,,,,40.24,40.24
63,Kirby,Series,1992,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,,40.13,40.13
64,Counter-Strike: Global Offensive,PC,2012,Shooter,Valve  ,Valve Corporation  ,,,,,,,,40,40
65,Guitar Hero,Series,2005,Music,Activision  ,Harmonix  ,,,,,,,,40,40
66,Medal of Honor,Series,1999,Shooter,Electronic Arts  ,"2015, Inc.  ",,,,,,,,39,39
67,Mario Kart Wii,Wii,2008,Racing,Nintendo  ,Nintendo EAD  ,8.2,9.1,,,,,,37.38,37.38
68,World of WarCraft,Series,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,36.9,36.9
69,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,,36.6,36.6
70,Mega Man,Series,1987,Platform,Capcom  ,Capcom  ,,,,,,,,36,36
71,Tom Clancy's Rainbow Six,Series,1998,Shooter,Red Storm Entertainment  ,Ubisoft  ,,,,,,,,36,36
72,NBA Live,Series,1994,Sports,EA Sports  ,EA Canada  ,,,,,,,,35,35
73,Tom Clancy's Ghost Recon,Series,2001,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,,,,,,35,35
74,BioShock,Series,2007,Shooter,2K Games  ,Irrational Games  ,,,,,,,,34,34
75,Red Dead Redemption 2,All,2018,Action-Adventure,Rockstar Games  ,Rockstar Studios  ,,,,,,,,34,34
76,Brain Age,Series,2006,Puzzle,Nintendo  ,Nintendo  ,,,,,,,,33.89,33.89
77,Minecraft,PC,2010,Misc,Mojang  ,Mojang AB  ,10,,,,,,,33.15,33.15
78,Wii Sports Resort,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8,8.8,,,,,,33.14,33.14
79,Half-life,Series,1998,Shooter,Sierra Studios  ,Valve  ,,,,,,,,33.1,33.1
80,Kingdom Hearts,Series,2002,Role-Playing,Square  ,Square  ,,,,,,,,32,32
81,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo  ,Game Freak  ,9.4,,,,,,,31.38,31.38
82,Tony Hawk's,Series,1999,Sports,Activision  ,Neversoft  ,,,,,,,,31.12,31.12
83,Tom Clancy's Splinter Cell,Series,2002,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,,31,31
84,Age of Empires,Series,1997,Strategy,Microsoft  ,Ensemble Studios  ,,,,,,,,30.82,30.82
85,New Super Mario Bros.,DS,2006,Platform,Nintendo  ,Nintendo EAD  ,9.1,8.1,,,,,,30.8,30.8
86,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo  ,Nintendo EAD  ,8.6,9.2,,,,,,30.32,30.32
87,Terraria,Series,2011,Action-Adventure,505 Games  ,Re-Logic  ,,,,,,,,30.3,30.3
88,Terraria,All,2011,Platform,Re-Logic  ,Re-Logic  ,,,,,,,,30.3,30.3
89,Tetris,GB,1989,Puzzle,Nintendo  ,Bullet Proof Software  ,,,,,,,,30.26,30.26
90,Call of Duty: Modern Warfare,All,N/A,Shooter,Unknown  ,Infinity Ward  ,,,,,,,,30,30
91,Command & Conquer,Series,1995,Strategy,Electronic Arts  ,Westwood Studios  ,,,,,,,,30,30
92,Diablo III,All,2015,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,30,30
93,James Bond,Series,1983,Action-Adventure,Parker Bros.  ,Richard Shepherd Software  ,,,,,,,,30,30
94,The Elder Scrolls V: Skyrim,All,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,,,,30,30
95,Wii Play,Series,2007,Party,Nintendo  ,Nintendo  ,,,,,,,,29.66,29.66
96,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,Nintendo EPD  ,9.3,,,,,,,28.99,28.99
97,Nintendogs,Series,2005,Simulation,Nintendo  ,Nintendo  ,,,,,,,,28.6,28.6
98,Duck Hunt,NES,1985,Shooter,Nintendo  ,Nintendo R&D1  ,,,,,,,,28.31,28.31
99,The Witcher 3: Wild Hunt,All,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,,,,,,28.2,28.2
100,Wii Play,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,5.9,4.5,,,,,,28.02,28.02
101,Souls,Series,2009,Role-Playing,Atlus  ,From Software  ,,,,,,,,28,28
102,Spider-Man,Series,N/A,Action-Adventure,Unknown  ,Parker Brothers  ,,,,,,,,28,28
103,Total War,Series,2000,Strategy,Electronic Arts  ,Creative Assembly  ,,,,,,,,27.6,27.6
104,Grand Theft Auto: San Andreas,All,2004,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,27.5,27.5
105,Portal,Series,2007,Puzzle,Valve  ,Valve  ,,,,,,,,27.03,27.03
